SKU,Style,Category,Size,Color,Inventory
MEN5002-KR-XL,MEN5002,kurta,XL,Blue,12
JNE3702-KR-XXL,JNE3702,kurta,XXL,Light Green,51
J0216-BL-L,J0216,Blouse,L,Green,31
JNE3384-KR-XXL,JNE3384,kurta,XXL,Turquoise Blue,6
J0187-KR-XXL,J0187,kurta,XXL,Black,5
J0328-KR-XXL,J0328,kurta,XXL,White,0
MEN5021-KR-XL,MEN5021,kurta,XL,Orange,6
SET433-KR-NP-XL,SET433,Set,XL,Teal,31
J0385-KR-L,J0385,kurta,L,Red,10
JNE3364-KR-1051-XL,JNE3364,kurta,XL,Light Green,170
J0165-TP-L,J0165,Top,L,Orange,3
JNE3895-TP-XXL,JNE3895,Top,XXL,Beige,61
SET319-KR-NP-M,SET319,Set,M,Pink,5
SET285-KR-SHA-XXXL,SET285,Set,3XL,Teal,3
J0414-DR-S,J0414,Western Dress,S,CORAL ORANGE,0
JNE3765-KR-M,JNE3765,kurta,M,Mustard,103
SET333-KR-DPT-M,SET333,Set,M,Teal,3
JNE3769-KR-M,JNE3769,kurta,M,Blue,13
JNE3766-KR-M,JNE3766,kurta,M,Grey,21
JNE3733-KR-M,JNE3733,kurta,M,Turquoise Blue,3
JNE3768-KR-M,JNE3768,kurta,M,Peach,47
JNE3609-KR-XXL,JNE3609,kurta,XXL,White,10
JNE3835-KR-XXXL,JNE3835,kurta,3XL,Black,42
JNE3802-KR-M,JNE3802,kurta,M,Orange,7
JNE3910-KR-L,JNE3910,kurta,L,Navy Blue,59
JNE3902-KR-L,JNE3902,kurta,L,Pink,15
J0277-SKD-XL,J0277,Set,XL,Gold,9
J0285-SKD-XL,J0285,Set,XL,Grey,86
J0306-DR-L,J0306,Western Dress,L,Red,3
SET331-KR-NP-XXXL,SET331,Set,3XL,Green,158
J0012-SKD-M,J0012,Set,M,Green,57
J0126-SKD-XXL,J0126,Set,XXL,Blue,13
JNE3638-KR-XXL,JNE3638,kurta,XXL,Orange,21
JNE3802-KR-L,JNE3802,kurta,L,Orange,6
JNE3412-KR-XL,JNE3412,kurta,XL,Olive,34
JNE3383-KR-A-XL,JNE3383,kurta,XL,,0
JNE2032-KR-205-S,JNE2032,kurta,S,Teal,46
MEN5028-KR-L,MEN5028,kurta,L,Brown,19
J0346-SET-XL,J0346,Set,XL,Cream,5
NW020-ST-SR-XL,NW020,Set,XL,Peach,6
JNE3716-KR-S,JNE3716,kurta,S,Teal,99
SET330-KR-PP-M,SET330,Set,M,Green,1
JNE3399-KR-XL,JNE3399,kurta,XL,Turquoise Blue,16
J0002-SKD-XL,J0002,Set,XL,Peach,62
J0002-SKD-XXXL,J0002,Set,3XL,Peach,7
J0009-SKD-XXXL,J0009,Set,3XL,Pink,26
JNE3718-KR-S,JNE3718,kurta,S,Navy Blue,205
JNE3904-DR-M,JNE3904,Western Dress,M,Light Pink,7
J0135-SET-XXL,J0135,Set,XXL,Green,4
SET043-KR-NP-XXXL,SET043,Set,3XL,Turquoise Blue,18
SET062-KR-SP-M,SET062,Set,M,Black,3
JNE3904-DR-L,JNE3904,Western Dress,L,Light Pink,10
SET341-KR-NP-M,SET341,Set,M,Multicolor,10
JNE3476-KR-M,JNE3476,kurta,M,Peach,9
SET276-KR-PP-L,SET276,Set,L,Blue,45
J0148-SET-XXL,J0148,Set,XXL,Green,7
SET246-KR-PP-XXXL,SET246,Set,3XL,Red,4
JNE3564-KR-M,JNE3564,kurta,M,Black,107
AN212-WHITE-XXL,AN212,Bottom,XXL,White,12
SET398-KR-PP-XL,SET398,Set,XL,Peach,6
JNE2049-KR-351-L,JNE2049,kurta,L,Black,4
SET350-KR-NP-XXXL,SET350,Set,3XL,Yellow,6
SET351-KR-NP-XL,SET351,Set,XL,Black,13
SET323-KR-NP-L,SET323,Set,L,White,27
JNE1234-MULTI-KR-032-XXXL,JNE1234,kurta,3XL,Multicolor,4
JNE3546-KR-L,JNE3546,kurta,L,Blue,10
J0009-SKD-XXL,J0009,Set,XXL,Pink,13
J0343-DR-XL,J0343,Western Dress,XL,Navy Blue,74
J0234-SKD-XXL,J0234,Set,XXL,Mustard,6
JNE2145-KR-A-XXXL,JNE2145,kurta,3XL,,0
SET305-KR-DPT-L,SET305,Set,L,Peach,22
JNE3578-KR-L,JNE3578,kurta,L,Yellow,5
JNE3804-KR-S,JNE3804,kurta,S,Grey,23
JNE1951-KR-155-L,JNE1951,kurta,L,Green,5
JNE3645-TP-N-XS,JNE3645,Top,XS,,0
J0381-SKD-M,J0381,Set,M,Gold,91
JNE3822-KR-XL,JNE3822,kurta,XL,Blue,18
JNE3878-KR-M,JNE3878,kurta,M,Wine,55
JNE3720-KR-XXXL,JNE3720,kurta,3XL,Navy Blue,78
SET322-KR-SHA-XXL,SET322,Set,XXL,Maroon,22
SET192-KR-NP-XXL,SET192,Set,XXL,Teal,7
JNE3739-KR-XXXL,JNE3739,kurta,3XL,Maroon,14
SET335-KR-NP-L,SET335,Set,L,Black,2
SET288-KR-NP-XXXL,SET288,Set,3XL,Grey,6
SET316-KR-DPT-XL,SET316,Set,XL,Navy Blue,42
SET357-KR-NP-XS,SET357,Set,XS,Pink,3
JNE3500-KR-XS,JNE3500,kurta,XS,Grey,16
SET324-KR-NP-S,SET324,Set,S,Peach,10
SET413-KR-NP-S,SET413,Set,S,Navy Blue,21
J0415-DR-XXL,J0415,Western Dress,XXL,CORAL PINK,2
JNE2205-KR-467-A-M,JNE2205,kurta,M,,0
JNE3771-KR-L,JNE3771,kurta,L,Maroon,37
SET003-KR-NP-A-XXL,SET003,Set,XXL,,0
SET258-KR-PP-XXL,SET258,Set,XXL,OFF WHITE,1
JNE3368-KR-L,JNE3368,kurta,L,Light Green,429
JNE3718-KR-L,JNE3718,kurta,L,Navy Blue,104
J0108-SKD-M,J0108,Set,M,Light Green,4
J0013-SKD-M,J0013,Set,M,Light Green,4
JNE1525-KR-UDF19BLACK-M,JNE1525,kurta,M,Black,1082
SET302-KR-PP-S,SET302,Set,S,Sky Blue,19
SET348-KR-NP-L,SET348,Set,L,Pink,10
J0234-SKD-XL,J0234,Set,XL,Mustard,8
J0334-TP-S,J0334,Top,S,Orange,5
J0126-SKD-M,J0126,Set,M,Blue,10
PJNE3068-KR-4XL,PJNE3068,kurta,4XL,Black,25
SET402-KR-NP-XXXL,SET402,Set,3XL,Sea Green,10
JNE3891-TP-L,JNE3891,Top,L,Light Green,57
JNE3606-KR-M,JNE3606,kurta,M,Beige,2
SET227-KR-PP-A-L,SET227,Set,L,,0
JNE3605-KR-XXXL,JNE3605,kurta,3XL,Pink,15
JNE3836-KR-XL,JNE3836,kurta,XL,Sea Green,47
JNE3904-DR-XS,JNE3904,Western Dress,XS,Light Pink,29
JNE3288-KR-XXL,JNE3288,kurta,XXL,Pink,16
JNE3407-KR-XL,JNE3407,kurta,XL,Olive Green,2
J0244-SKD-XL,J0244,Set,XL,OFF WHITE,5
J0002-SKD-M,J0002,Set,M,Peach,82
SET334-KR-NP-XL,SET334,Set,XL,Grey,33
NW005-ST-PJ-M,NW005,Set,M,White,6
JNE3764-KR-S,JNE3764,kurta,S,Magenta,18
NW001-TP-PJ-XXXL,NW001,Set,3XL,Light Pink,7
J0094-KR-XL,J0094,kurta,XL,Blue,2
J0377-SKD-M,J0377,Set,M,Beige,3
JNE3716-KR-L,JNE3716,kurta,L,Teal,104
JNE3902-KR-XXL,JNE3902,kurta,XXL,Pink,11
JNE3291-KR-S,JNE3291,kurta,S,Light Green,19
J0002-SKD-XS,J0002,Set,XS,Peach,97
JNE3836-KR-L,JNE3836,kurta,L,Sea Green,49
J0281-SKD-XXL,J0281,Set,XXL,Light Brown,14
JNE3811-KR-L,JNE3811,kurta,L,Navy Blue,7
J0127-SKD-XS,J0127,Set,XS,Multicolor,22
SET400-KR-NP-XS,SET400,Set,XS,Blue,57
JNE3515-KR-XXL,JNE3515,kurta,XXL,CORAL ,5
JNE3735-KR-M,JNE3735,kurta,M,Beige,11
SET192-KR-NP-M,SET192,Set,M,Teal,6
JNE3710-DR-XS,JNE3710,Western Dress,XS,Blue,4
J0205-TP-S,J0205,Top,S,Peach,5
JNE3465-KR-S,JNE3465,kurta,S,Turquoise Blue,46
JNE3720-KR-XL,JNE3720,kurta,XL,Navy Blue,255
J0348-SET-S,J0348,Set,S,Mustard,4
JNE3160-KR-XS,JNE3160,kurta,XS,White,26
JNE3383-KR-A-XS,JNE3383,kurta,XS,,0
SET158-KR-PP-L,SET158,Set,L,Mustard,28
SET359-KR-NP-L,SET359,Set,L,Navy Blue,4
SET274-KR-PP-XXXL,SET274,Set,3XL,Yellow,3
MEN5001-KR-S,MEN5001,kurta,S,Blue,11
SET395-KR-NP-XXXL,SET395,Set,3XL,Sea Green,31
SET264-KR-NP-XXL,SET264,Set,XXL,Gold,127
SET182-KR-DH-XS,SET182,Set,XS,Black,109
JNE3610-KR-XXXL,JNE3610,kurta,3XL,TEAL GREEN ,3
SET194-KR-NP-XXL,SET194,Set,XXL,Mustard,167
JNE2266-KR-490-A-XL,JNE2266,kurta,XL,,0
AN204-PURPLE-M,AN204,Bottom,M,Purple,4
JNE3775-KR-M,JNE3775,kurta,M,Teal,70
JNE2266-KR-490-A-M,JNE2266,kurta,M,,0
JNE3856-KR-XXL,JNE3856,kurta,XXL,Pink,32
SET339-KR-NP-M,SET339,Set,M,Maroon,4
JNE3549-KR-XXXL,JNE3549,kurta,3XL,Maroon,3
JNE3383-KR-A-S,JNE3383,kurta,S,,0
SET240-KR-PP-S,SET240,Set,S,Yellow,43
SET405-KR-NP-XL,SET405,Set,XL,Red,17
JNE3869-DR-XS,JNE3869,Western Dress,XS,Pink,6
SET209-KR-PP-L,SET209,Set,L,Pink,7
SET227-KR-PP-A-XL,SET227,Set,XL,,0
PJNE3363-KR-N-4XL,PJNE3363,kurta,4XL,,0
JNE3781-KR-XL,JNE3781,kurta,XL,Green,83
JNE3709-DR-S,JNE3709,Western Dress,S,Mustard,3
JNE3836-KR-S,JNE3836,kurta,S,Sea Green,21
SET304-KR-DPT-XXL,SET304,Set,XXL,Grey,14
JNE3689-TU-L,JNE3689,Top,L,Navy Blue,0
JNE3718-KR-XL,JNE3718,kurta,XL,Navy Blue,197
J0237-SKD-XL,J0237,Set,XL,Orange,4
JNE3270-KR-XL,JNE3270,kurta,XL,Maroon,29
J0202-TP-XL,J0202,Top,XL,Blue,2
JNE3465-KR-M,JNE3465,kurta,M,Turquoise Blue,131
JNE3291-KR-L,JNE3291,kurta,L,Light Green,151
J0005-DR-M,J0005,Western Dress,M,Light Green,49
JNE3742-KR-XXL,JNE3742,kurta,XXL,Green,74
JNE3894-TP-L,JNE3894,Top,L,Blue,0
SET414-KR-NP-XS,SET414,Set,XS,Navy Blue,48
SET346-KR-PP-XXL,SET346,Set,XXL,Beige,53
JNE3701-KR-XXXL,JNE3701,kurta,3XL,Orange,9
JNE2049-KR-351-XXXL1,JNE2049,kurta,3XL,,0
J0343-DR-XXXL,J0343,Western Dress,3XL,Navy Blue,7
SET317-KR-PP-XXL,SET317,Set,XXL,Olive Green,32
SET087-KR-PP-M,SET087,Set,M,Grey,4
SET403-KR-NP-S,SET403,Set,S,Green,51
J0236-SKD-S,J0236,Set,S,Pink,7
MEN5027-KR-L,MEN5027,kurta,L,Red,18
J0344-TP-XS,J0344,Top,XS,Navy Blue,131
JNE3810-KR-XL,JNE3810,kurta,XL,Black,1
SET246-KR-PP-XL,SET246,Set,XL,Red,4
J0401-DR-XXL,J0401,Western Dress,XXL,Yellow,4
J0308-DR-XS,J0308,Western Dress,XS,Multicolor,35
JNE3571-KR-XL,JNE3571,kurta,XL,Sea Green,63
SET279-LC-L,SET279,Set,L,Teal,33
SET320-KR-NP-XL,SET320,Set,XL,Green,27
NW004-TP-PJ-XXXL,NW004,Set,3XL,Navy Blue,12
SET350-KR-NP-M,SET350,Set,M,Yellow,5
SET402-KR-NP-M,SET402,Set,M,Sea Green,8
JNE3778-KR-XXXL,JNE3778,kurta,3XL,Green,22
SET369-KR-NP-L,SET369,Set,L,Light Pink,39
SET375-KR-NP-XL,SET375,Set,XL,Maroon,7
SET348-KR-NP-XXL,SET348,Set,XXL,Pink,5
SET154-KR-NP-XXL,SET154,Set,XXL,Blue,3
SET342-KR-NP-N-XXL,SET342,Set,XXL,,0
SET394-KR-NP-S,SET394,Set,S,Maroon,4
PSET268-KR-NP-5XL,PSET268,Set,5XL,OFF WHITE,26
SET339-KR-NP-XXXL,SET339,Set,3XL,Maroon,8
JNE3787-KR-XXL,JNE3787,kurta,XXL,Blue,5
J0189-TP-L,J0189,Top,L,Orange,10
J0164-DR-M,J0164,Ethnic Dress,M,Orange,4
SET282-KR-PP-XS,SET282,Set,XS,Yellow,32
JNE3757-KR-S,JNE3757,kurta,S,Light Green,57
JNE3799-KR-L,JNE3799,kurta,L,Wine,48
SET278-KR-NP-XL,SET278,Set,XL,Orange,3
JNE3838-KR-L,JNE3838,kurta,L,Black,5
SET233-KR-PP-XS,SET233,Set,XS,Pink,17
PSET264-KR-NP-5XL,PSET264,Set,5XL,Gold,39
JNE3800-KR-A-XS,JNE3800,Western Dress,XS,,0
SET349-KR-NP-XXL,SET349,Set,XXL,Pink,3
JNE3440-KR-N-XXL,JNE3440,kurta,XXL,,0
J0013-SKD-XXXL,J0013,Set,3XL,Light Green,6
SET433-KR-NP-L,SET433,Set,L,Teal,50
SET286-KR-NP-XL,SET286,Set,XL,Maroon,30
SET348-KR-NP-M,SET348,Set,M,Pink,15
J0219-BL-S,J0219,Blouse,S,Pink,66
SET408-KR-NP-M,SET408,Set,M,Magenta,2
JNE3860-DR-M,JNE3860,Western Dress,M,Blue,13
JNE3510-KR-S,JNE3510,kurta,S,Grey,2
JNE3373-KR-XS,JNE3373,kurta,XS,Black,32
J0088-TP-M,J0088,Top,M,Pink,3
JNE3416-KR-XXL,JNE3416,kurta,XXL,Brown,32
JNE3879-DR-L,JNE3879,Western Dress,L,Turquoise,16
J0215-BL-S,J0215,Blouse,S,Blue,40
PJNE3291-KR-4XL,PJNE3291,kurta,4XL,Green,22
PJNE3423-KR-N-4XL,PJNE3423,kurta,4XL,,0
PJNE2100-KR-N-4XL,PJNE2100,kurta,4XL,,0
JNE3638-KR-XXXL,JNE3638,kurta,3XL,Orange,29
SET413-KR-NP-XS,SET413,Set,XS,Navy Blue,7
J0345-SET-XL,J0345,Set,XL,Cream,8
J0354-KR-XL,J0354,kurta,XL,Pink,81
SET218-KR-NP-XXXL,SET218,Set,3XL,Sky Blue,5
PJNE3421-KR-N-4XL,PJNE3421,kurta,4XL,,0
JNE3797-KR-A-XXXL,JNE3797,Western Dress,3XL,,0
MEN5014-KR-L,MEN5014,kurta,L,Orange,26
J0236-SKD-L,J0236,Set,L,Pink,5
JNE3652-TP-N-XXL,JNE3652,Top,XXL,,0
JNE3752-KR-M,JNE3752,kurta,M,Blue,4
SET364-KR-NP-XS,SET364,Set,XS,Yellow,4
J0095-SET-XXXL,J0095,Set,3XL,Blue,1
J0004-SKD-XXL,J0004,Set,XXL,Grey,11
MEN5013-KR-XXL,MEN5013,kurta,XXL,Maroon,6
JNE3459-KR-XS,JNE3459,kurta,XS,Navy Blue,11
SET383-KR-NP-L,SET383,Set,L,Light Green,4
J0215-BL-XXL,J0215,Blouse,XXL,Blue,22
AN204-PURPLE-XXL,AN204,Bottom,XXL,Purple,5
JNE3365-KR-1052-A-M,JNE3365,kurta,M,,0
JNE3510-KR-XXL,JNE3510,kurta,XXL,Grey,6
NW001-TP-PJ-M,NW001,Set,M,Light Pink,6
SET350-KR-NP-XL,SET350,Set,XL,Yellow,5
JNE3273-KR-XS,JNE3273,kurta,XS,Maroon,26
SET264-KR-NP-M,SET264,Set,M,Gold,295
SET400-KR-NP-L,SET400,Set,L,Blue,14
BL087-XS,BL087,Blouse,XS,Multicolor,18
JNE3775-KR-XXL,JNE3775,kurta,XXL,Teal,72
NW002-TP-PJ-L,NW002,Set,L,Turquoise Blue,36
JNE3822-KR-XXL,JNE3822,kurta,XXL,Blue,7
SET083-KR-PP-XXL,SET083,Set,XXL,Navy Blue,2
J0381-SKD-XL,J0381,Set,XL,Gold,31
JNE3463-KR-XS,JNE3463,kurta,XS,Light Green,90
JNE3793-KR-XS,JNE3793,kurta,XS,Maroon,75
SET019-KR-PP-A-S,SET019,Set,S,,0
JNE3757-KR-L,JNE3757,kurta,L,Light Green,29
JNE3721-KR-XS,JNE3721,kurta,XS,Magenta,3
J0207-DR-XS,J0207,Western Dress,XS,Olive,13
JNE3654-TP-XL,JNE3654,Top,XL,Blue,11
JNE3713-TP-N-XS,JNE3713,Top,XS,,0
SET310-KR-NP-S,SET310,Set,S,Green,27
J0340-TP-S,J0340,Top,S,Green,12
JNE3910-KR-XXL,JNE3910,kurta,XXL,Navy Blue,70
JNE3908-KR-XXL,JNE3908,kurta,XXL,Navy Blue,69
JNE3793-KR-XXL,JNE3793,kurta,XXL,Maroon,12
SET268-KR-NP-S,SET268,Set,S,OFF WHITE,807
J0208-DR-XXXL,J0208,Western Dress,3XL,Peach,9
J0301-TP-XXL,J0301,Top,XXL,Red,148
J0236-SKD-XXL,J0236,Set,XXL,Pink,6
SET209-KR-PP-XXL,SET209,Set,XXL,Pink,15
SET252-KR-PP-XS,SET252,Set,XS,Yellow,148
SET408-KR-NP-XXL,SET408,Set,XXL,Magenta,33
JNE3366-KR-1053-A-XXL,JNE3366,kurta,XXL,,0
JNE3455-KR-XL,JNE3455,kurta,XL,Black,15
JNE3764-KR-XXL,JNE3764,kurta,XXL,Magenta,5
SET194-KR-NP-L,SET194,Set,L,Mustard,84
NW016-ST-SR-L,NW016,Set,L,White,8
JNE3459-KR-XXL,JNE3459,kurta,XXL,Navy Blue,6
J0329-KR-XS,J0329,kurta,XS,Yellow,24
JNE3748-KR-L,JNE3748,kurta,L,Blue,4
JNE2049-KR-351-M,JNE2049,kurta,M,Black,62
SET347-KR-NP-XS,SET347,Set,XS,Cream,6
MEN5031-KR-XXXL,MEN5031,kurta,3XL,Maroon,10
J0102-SKD-M,J0102,Set,M,Purple,58
JNE3652-TP-N-XL,JNE3652,Top,XL,,0
SET340-KR-NP-XXXL,SET340,Set,3XL,Maroon,8
PJNE3291-KR-6XL,PJNE3291,kurta,6XL,Green,24
MEN5004-KR-XXL,MEN5004,kurta,XXL,Blue,3
SET325-KR-NP-L,SET325,Set,L,Black,69
J0041-SET-XL,J0041,Set,XL,Light Green,7
JNE3407-KR-L,JNE3407,kurta,L,Olive Green,3
SET333-KR-DPT-S,SET333,Set,S,Teal,4
JNE3363-KR-1032-M,JNE3363,kurta,M,Dark Blue,130
J0335-DR-XXL,J0335,Western Dress,XXL,Orange,3
SET131-KR-NP-M,SET131,Set,M,Blue,4
SET413-KR-NP-M,SET413,Set,M,Navy Blue,6
J0336-TP-L,J0336,Top,L,Blue,26
JNE3630-KR-XL,JNE3630,kurta,XL,Blue,8
JNE3861-DR-L,JNE3861,Western Dress,L,Red,0
JNE3518-KR-L,JNE3518,kurta,L,Turquoise,3
JNE1525-KR-UDF19BLACK-L,JNE1525,kurta,L,Black,874
JNE3623-KR-XS,JNE3623,kurta,XS,Green,6
JNE3348-KR-L,JNE3348,kurta,L,Pink,10
SET304-KR-DPT-XXXL,SET304,Set,3XL,Grey,34
J0349-SET-L,J0349,Set,L,Cream,111
J0011-LCD-XXL,J0011,Set,XXL,Pink,41
MEN5029-KR-XXXL,MEN5029,kurta,3XL,Blue,5
JNE3672-TU-M,JNE3672,Top,M,Red,1
SET401-KR-NP-XXXL,SET401,Set,3XL,Black,24
J0213-TP-S,J0213,Top,S,Mustard,20
SET199-KR-NP-XL,SET199,Set,XL,Peach,5
JNE3888-KR-XL,JNE3888,kurta,XL,Multicolor,28
J0041-SET-L,J0041,Set,L,Light Green,5
SET438-KR-NP-M,SET438,Set,M,Pink,69
SET324-KR-NP-XS,SET324,Set,XS,Peach,16
PJNE3423-KR-N-5XL,PJNE3423,kurta,5XL,,0
J0236-SKD-XXXL,J0236,Set,3XL,Pink,4
J0225-SKD-M,J0225,Set,M,Blue,25
J0281-SKD-XXXL,J0281,Set,3XL,Light Brown,52
JNE3702-KR-M,JNE3702,kurta,M,Light Green,36
SET376-KR-NP-L,SET376,Set,L,Dark Green,9
J0429-DR-XXXL,J0429,Western Dress,3XL,Peach,52
SET348-KR-NP-XXXL,SET348,Set,3XL,Pink,2
SET144-KR-NP-S,SET144,Set,S,Pink,61
J0101-DR-A-XL,J0101,Ethnic Dress,XL,,0
J0082-TP-L,J0082,Top,L,Black,3
J0089-TP-XL,J0089,Top,XL,Pink,4
JNE3890-TP-XL,JNE3890,Top,XL,Cream,61
JNE3806-KR-XL,JNE3806,kurta,XL,Blue,4
JNE3757-KR-XXL,JNE3757,kurta,XXL,Light Green,18
SET209-KR-PP-XL,SET209,Set,XL,Pink,8
JNE3804-KR-L,JNE3804,kurta,L,Grey,130
SET415-KR-NP-XXL,SET415,Set,XXL,Green,56
SET183-KR-DH-S,SET183,Set,S,Olive Green,293
JNE3400-KR-M,JNE3400,kurta,M,Brown,2
JNE3708-TU-M,JNE3708,Top,M,White,96
JNE3896-KR-A-XL,JNE3896,kurta,XL,,0
SET410-KR-NP-L,SET410,Set,L,Green,23
SET279-LC-S,SET279,Set,S,Teal,5
MEN5026-KR-XL,MEN5026,kurta,XL,Blue,7
SET357-KR-NP-M,SET357,Set,M,Pink,2
JNE3660-TP-N-L,JNE3660,Top,L,,0
J0418-TP-XS,J0418,Top,XS,Yellow,2
J0281-SKD-XL,J0281,Set,XL,Light Brown,46
PJNE3291-KR-5XL,PJNE3291,kurta,5XL,Green,47
JNE3660-TP-N-XS,JNE3660,Top,XS,,0
JNE3476-KR-S,JNE3476,kurta,S,Peach,13
J0001-DR-S,J0001,Ethnic Dress,S,Pink,9
JNE3688-TU-XXL,JNE3688,Top,XXL,Green,22
JNE3510-KR-XL,JNE3510,kurta,XL,Grey,4
SET310-KR-NP-L,SET310,Set,L,Green,6
JNE3798-KR-A-XL,JNE3798,Western Dress,XL,,0
SET191-KR-PP-XL,SET191,Set,XL,Navy Blue,3
JNE3784-KR-L,JNE3784,kurta,L,Green,139
J0346-SET-XXXL,J0346,Set,3XL,Cream,29
SET355-KR-PP-XS,SET355,Set,XS,Light Green,3
JNE3474-KR-E-XXXL,JNE3474,kurta,3XL,,0
J0217-BL-S,J0217,Blouse,S,Purple,18
JNE3518-KR-M,JNE3518,kurta,M,Turquoise,6
SET132-KR-NP-XXXL,SET132,Set,3XL,Light Green,3
SET014-KR-PP-XXL,SET014,Set,XXL,Navy Blue,2
JNE3634-KR-L,JNE3634,kurta,L,Teal,19
JNE3634-KR-M,JNE3634,kurta,M,Teal,21
JNE3257-KR-M,JNE3257,kurta,M,Magenta,9
NW020-ST-SR-L,NW020,Set,L,Peach,2
SET229-KR-PP-XXXL,SET229,Set,3XL,Mauve,29
J0231-SKD-S,J0231,Set,S,Green,30
JNE2270-KR-487-A-S,JNE2270,kurta,S,,0
JNE3902-KR-S,JNE3902,kurta,S,Pink,15
SET280-KR-PP-S,SET280,Set,S,Pink,4
J0103-SKD-S,J0103,Set,S,Yellow,50
JNE3784-KR-XXL,JNE3784,kurta,XXL,Green,112
J0008-SKD-XXXL,J0008,Set,3XL,Mustard,51
JNE3660-TP-N-S,JNE3660,Top,S,,0
JNE3359-KR-XXL,JNE3359,kurta,XXL,Grey,3
SET350-KR-NP-XS,SET350,Set,XS,Yellow,23
JNE3630-KR-L,JNE3630,kurta,L,Blue,11
J0111-TP-XXXL,J0111,Top,3XL,Green,4
JNE3518-KR-XS,JNE3518,kurta,XS,Turquoise,22
J0085-TP-L,J0085,Top,L,Blue,3
JNE3614-KR-L,JNE3614,kurta,L,TEAL GREEN ,57
JNE3575-KR-S,JNE3575,kurta,S,Pink,28
J0003-SET-L,J0003,Set,L,Mustard,3
JNE2294-KR-A-XXXL,JNE2294,kurta,3XL,Yellow,4
JNE3561-KR-XXXL,JNE3561,kurta,3XL,Beige,3
J0105-KR-XXL,J0105,Western Dress,XXL,OFF WHITE,5
SET340-KR-NP-M,SET340,Set,M,Maroon,2
J0234-SKD-L,J0234,Set,L,Mustard,6
J0285-SKD-M,J0285,Set,M,Grey,79
JNE3359-KR-XL,JNE3359,kurta,XL,Grey,4
JNE3384-KR-XL,JNE3384,kurta,XL,Turquoise Blue,3
JNE3454-KR-L,JNE3454,kurta,L,Peach,28
JNE3819-KR-M,JNE3819,kurta,M,Blue,7
SET131-KR-NP-XXL,SET131,Set,XXL,Blue,5
JNE3706-DR-XXL,JNE3706,Western Dress,XXL,Cream,3
JNE3482-KR-XXL,JNE3482,kurta,XXL,Powder Blue,5
SET145-KR-NP-L,SET145,Set,L,Blue,4
J0095-SET-S,J0095,Set,S,Blue,20
SET073-KR-SHA-S,SET073,Set,S,Dark Green,249
J0150-KR-XXL,J0150,kurta,XXL,Black,3
JNE3652-TP-N-S,JNE3652,Top,S,,0
NW014-ST-SR-XXXL,NW014,Set,3XL,Blue,23
J0418-TP-XL,J0418,Top,XL,Yellow,42
PJNE3068-KR-6XL,PJNE3068,kurta,6XL,Black,27
JNE3889-KR-XXL,JNE3889,kurta,XXL,Green,41
J0118-TP-XXXL,J0118,Top,3XL,Red,61
J0431-DR-XXL,J0431,Western Dress,XXL,Blue,63
J0429-DR-XXL,J0429,Western Dress,XXL,Peach,72
SET386-KR-NP-S,SET386,Set,S,Light Pink,26
JNE2100-KR-144-XS,JNE2100,kurta,XS,Teal,239
SET194-KR-NP-S,SET194,Set,S,Mustard,53
JNE2014-KR-178-XXL,JNE2014,kurta,XXL,Multicolor,28
J0280-SKD-XXXL,J0280,Set,3XL,Peach,34
JNE3708-TU-XXXL,JNE3708,Top,3XL,White,27
JNE3810-KR-XXL,JNE3810,kurta,XXL,Black,16
SET187-KR-DH-M,SET187,Set,M,Peach,318
SET277-KR-NP-XXL,SET277,Set,XXL,Turquoise,9
SET330-KR-PP-XXXL,SET330,Set,3XL,Green,5
SET330-KR-PP-XXL,SET330,Set,XXL,Green,28
SET320-KR-NP-XXL,SET320,Set,XXL,Green,40
J0241-SKD-XL,J0241,Set,XL,OFF WHITE,24
SET186-KR-DH-S,SET186,Set,S,Navy Blue,38
SET073-KR-SHA-M,SET073,Set,M,Dark Green,250
JNE3730-KR-M,JNE3730,kurta,M,Olive,15
J0213-TP-XXXL,J0213,Top,3XL,Mustard,7
JNE3563-KR-XS,JNE3563,kurta,XS,Pink,4
JNE3927-KR-XL,JNE3927,kurta,XL,Pink,62
JNE3465-KR-XS,JNE3465,kurta,XS,Turquoise Blue,46
SET304-KR-DPT-S,SET304,Set,S,Grey,74
SET330-KR-PP-XL,SET330,Set,XL,Green,3
J0344-TP-S,J0344,Top,S,Navy Blue,139
JNE3510-KR-L,JNE3510,kurta,L,Grey,1
J0095-SET-L,J0095,Set,L,Blue,1
J0153-DR-XXL,J0153,Western Dress,XXL,Green,2
JNE3860-DR-XL,JNE3860,Western Dress,XL,Blue,6
JNE3861-DR-XL,JNE3861,Western Dress,XL,Red,3
NW006-ST-SR-L,NW006,Set,L,Beige,35
JNE3690-TU-XXL,JNE3690,Top,XXL,Maroon,11
JNE3645-TP-N-XL,JNE3645,Top,XL,,0
JNE2205-KR-467-A-XL,JNE2205,kurta,XL,,0
SET349-KR-NP-M,SET349,Set,M,Pink,3
J0042-DR-XS,J0042,Western Dress,XS,Turquoise Blue,4
SET365-KR-NP-S,SET365,Set,S,Pink,8
JNE3621-KR-A-XL,JNE3621,kurta,XL,,0
JNE2171-KR-437-S,JNE2171,kurta,S,White,92
SET098-KR-PP-XL,SET098,Set,XL,Navy Blue,50
JNE3615-KR-XS,JNE3615,kurta,XS,Navy Blue,8
