SKU,Style,Color,Category,Size
SET402-KR-NP-XXXL,SET402,Red,Set,3XL
JNE3891-TP-L,JNE3891,Orange,Top,L
JNE3606-KR-M,JNE3606,Blue,kurta,M
SET227-KR-PP-A-L,SET227,Green,Set,L
JNE3605-KR-XXXL,JNE3605,Brown,kurta,3XL
JNE3836-KR-XL,JNE3836,Brown,kurta,XL
JNE3904-DR-XS,JNE3904,Green,Western Dress,XS
JNE3288-KR-XXL,JNE3288,Orange,kurta,XXL
JNE3407-KR-XL,JNE3407,Green,kurta,XL
J0244-SKD-XL,J0244,White,Set,XL
J0002-SKD-M,J0002,Blue,Set,M
SET334-KR-NP-XL,SET334,Green,Set,XL
NW005-ST-PJ-M,NW005,Green,Set,M
JNE3764-KR-S,JNE3764,Purple,kurta,S
NW001-TP-PJ-XXXL,NW001,Red,Set,3XL
J0094-KR-XL,J0094,Orange,kurta,XL
J0377-SKD-M,J0377,Orange,Set,M
JNE3716-KR-L,JNE3716,Purple,kurta,L
JNE3902-KR-XXL,JNE3902,Brown,kurta,XXL
JNE3291-KR-S,JNE3291,Black,kurta,S
J0002-SKD-XS,J0002,White,Set,XS
JNE3836-KR-L,JNE3836,Orange,kurta,L
J0281-SKD-XXL,J0281,Black,Set,XXL
JNE3811-KR-L,JNE3811,Brown,kurta,L
J0127-SKD-XS,J0127,Purple,Set,XS
SET400-KR-NP-XS,SET400,White,Set,XS
JNE3515-KR-XXL,JNE3515,Blue,kurta,XXL
JNE3735-KR-M,JNE3735,Yellow,kurta,M
SET192-KR-NP-M,SET192,Black,Set,M
JNE3710-DR-XS,JNE3710,Red,Western Dress,XS
J0205-TP-S,J0205,White,Top,S
JNE3465-KR-S,JNE3465,Orange,kurta,S
JNE3720-KR-XL,JNE3720,Blue,kurta,XL
J0348-SET-S,J0348,Red,Set,S
JNE3160-KR-XS,JNE3160,Red,kurta,XS
JNE3383-KR-A-XS,JNE3383,Red,kurta,XS
SET158-KR-PP-L,SET158,Brown,Set,L
SET359-KR-NP-L,SET359,Green,Set,L
SET274-KR-PP-XXXL,SET274,Black,Set,3XL
MEN5001-KR-S,MEN5001,Brown,kurta,S
SET395-KR-NP-XXXL,SET395,Green,Set,3XL
SET264-KR-NP-XXL,SET264,Blue,Set,XXL
SET182-KR-DH-XS,SET182,Green,Set,XS
JNE3610-KR-XXXL,JNE3610,Brown,kurta,3XL
SET194-KR-NP-XXL,SET194,Orange,Set,XXL
JNE2266-KR-490-A-XL,JNE2266,Blue,kurta,XL
AN204-PURPLE-M,AN204,Black,Bottom,M
JNE3775-KR-M,JNE3775,Black,kurta,M
JNE2266-KR-490-A-M,JNE2266,Yellow,kurta,M
JNE3856-KR-XXL,JNE3856,Yellow,kurta,XXL
SET339-KR-NP-M,SET339,Red,Set,M
JNE3549-KR-XXXL,JNE3549,Green,kurta,3XL
JNE3383-KR-A-S,JNE3383,Brown,kurta,S
SET240-KR-PP-S,SET240,Black,Set,S
SET405-KR-NP-XL,SET405,Black,Set,XL
JNE3869-DR-XS,JNE3869,Purple,Western Dress,XS
SET209-KR-PP-L,SET209,Blue,Set,L
SET227-KR-PP-A-XL,SET227,Orange,Set,XL
PJNE3363-KR-N-4XL,PJNE3363,Brown,kurta,4XL
JNE3781-KR-XL,JNE3781,Blue,kurta,XL
JNE3709-DR-S,JNE3709,Orange,Western Dress,S
JNE3836-KR-S,JNE3836,Purple,kurta,S
SET304-KR-DPT-XXL,SET304,Green,Set,XXL
JNE3689-TU-L,JNE3689,Purple,Top,L
JNE3718-KR-XL,JNE3718,Green,kurta,XL
J0237-SKD-XL,J0237,Brown,Set,XL
JNE3270-KR-XL,JNE3270,Red,kurta,XL
J0202-TP-XL,J0202,Yellow,Top,XL
JNE3465-KR-M,JNE3465,White,kurta,M
JNE3291-KR-L,JNE3291,White,kurta,L
J0005-DR-M,J0005,White,Western Dress,M
JNE3742-KR-XXL,JNE3742,Green,kurta,XXL
JNE3894-TP-L,JNE3894,Yellow,Top,L
SET414-KR-NP-XS,SET414,Red,Set,XS
SET346-KR-PP-XXL,SET346,Green,Set,XXL
JNE3701-KR-XXXL,JNE3701,Red,kurta,3XL
JNE2049-KR-351-XXXL1,JNE2049,Brown,kurta,3XL
J0343-DR-XXXL,J0343,Brown,Western Dress,3XL
SET317-KR-PP-XXL,SET317,Purple,Set,XXL
SET087-KR-PP-M,SET087,Purple,Set,M
SET403-KR-NP-S,SET403,Green,Set,S
J0236-SKD-S,J0236,Purple,Set,S
MEN5027-KR-L,MEN5027,Blue,kurta,L
J0344-TP-XS,J0344,Red,Top,XS
JNE3810-KR-XL,JNE3810,White,kurta,XL
SET246-KR-PP-XL,SET246,Brown,Set,XL
J0401-DR-XXL,J0401,Brown,Western Dress,XXL
J0308-DR-XS,J0308,Yellow,Western Dress,XS
JNE3571-KR-XL,JNE3571,Green,kurta,XL
SET279-LC-L,SET279,Green,Set,L
SET320-KR-NP-XL,SET320,Orange,Set,XL
NW004-TP-PJ-XXXL,NW004,Blue,Set,3XL
SET350-KR-NP-M,SET350,Yellow,Set,M
SET402-KR-NP-M,SET402,White,Set,M
JNE3778-KR-XXXL,JNE3778,Green,kurta,3XL
SET369-KR-NP-L,SET369,Red,Set,L
SET375-KR-NP-XL,SET375,Orange,Set,XL
SET348-KR-NP-XXL,SET348,Orange,Set,XXL
SET154-KR-NP-XXL,SET154,Red,Set,XXL
SET342-KR-NP-N-XXL,SET342,Yellow,Set,XXL
SET394-KR-NP-S,SET394,Purple,Set,S
PSET268-KR-NP-5XL,PSET268,Brown,Set,5XL
SET339-KR-NP-XXXL,SET339,Orange,Set,3XL
JNE3787-KR-XXL,JNE3787,Blue,kurta,XXL
J0189-TP-L,J0189,Purple,Top,L
J0164-DR-M,J0164,Blue,Ethnic Dress,M
SET282-KR-PP-XS,SET282,Black,Set,XS
JNE3757-KR-S,JNE3757,White,kurta,S
JNE3799-KR-L,JNE3799,Purple,kurta,L
SET278-KR-NP-XL,SET278,Yellow,Set,XL
JNE3838-KR-L,JNE3838,White,kurta,L
SET233-KR-PP-XS,SET233,Black,Set,XS
PSET264-KR-NP-5XL,PSET264,White,Set,5XL
JNE3800-KR-A-XS,JNE3800,Brown,Western Dress,XS
SET349-KR-NP-XXL,SET349,Green,Set,XXL
JNE3440-KR-N-XXL,JNE3440,Purple,kurta,XXL
J0013-SKD-XXXL,J0013,Yellow,Set,3XL
SET433-KR-NP-L,SET433,Black,Set,L
SET286-KR-NP-XL,SET286,Purple,Set,XL
SET348-KR-NP-M,SET348,Red,Set,M
J0219-BL-S,J0219,Brown,Blouse,S
SET408-KR-NP-M,SET408,Green,Set,M
JNE3860-DR-M,JNE3860,Red,Western Dress,M
JNE3510-KR-S,JNE3510,Brown,kurta,S
JNE3373-KR-XS,JNE3373,Green,kurta,XS
J0088-TP-M,J0088,Black,Top,M
JNE3416-KR-XXL,JNE3416,Yellow,kurta,XXL
JNE3879-DR-L,JNE3879,Brown,Western Dress,L
J0215-BL-S,J0215,Brown,Blouse,S
PJNE3291-KR-4XL,PJNE3291,Yellow,kurta,4XL
PJNE3423-KR-N-4XL,PJNE3423,Green,kurta,4XL
PJNE2100-KR-N-4XL,PJNE2100,Green,kurta,4XL
JNE3638-KR-XXXL,JNE3638,Green,kurta,3XL
SET413-KR-NP-XS,SET413,Blue,Set,XS
J0345-SET-XL,J0345,Green,Set,XL
J0354-KR-XL,J0354,Green,kurta,XL
SET218-KR-NP-XXXL,SET218,Green,Set,3XL
PJNE3421-KR-N-4XL,PJNE3421,White,kurta,4XL
JNE3797-KR-A-XXXL,JNE3797,Yellow,Western Dress,3XL
MEN5014-KR-L,MEN5014,Blue,kurta,L
J0236-SKD-L,J0236,Yellow,Set,L
JNE3652-TP-N-XXL,JNE3652,Blue,Top,XXL
JNE3752-KR-M,JNE3752,Brown,kurta,M
SET364-KR-NP-XS,SET364,Blue,Set,XS
J0095-SET-XXXL,J0095,Brown,Set,3XL
J0004-SKD-XXL,J0004,Black,Set,XXL
MEN5013-KR-XXL,MEN5013,Purple,kurta,XXL
JNE3459-KR-XS,JNE3459,Green,kurta,XS
SET383-KR-NP-L,SET383,Purple,Set,L
J0215-BL-XXL,J0215,Orange,Blouse,XXL
AN204-PURPLE-XXL,AN204,White,Bottom,XXL
JNE3365-KR-1052-A-M,JNE3365,White,kurta,M
JNE3510-KR-XXL,JNE3510,Green,kurta,XXL
NW001-TP-PJ-M,NW001,Green,Set,M
SET350-KR-NP-XL,SET350,Green,Set,XL
JNE3273-KR-XS,JNE3273,Black,kurta,XS
SET264-KR-NP-M,SET264,Blue,Set,M
SET400-KR-NP-L,SET400,Blue,Set,L
BL087-XS,BL087,Green,Blouse,XS
JNE3775-KR-XXL,JNE3775,Red,kurta,XXL
NW002-TP-PJ-L,NW002,Yellow,Set,L
JNE3822-KR-XXL,JNE3822,Blue,kurta,XXL
SET083-KR-PP-XXL,SET083,Green,Set,XXL
J0381-SKD-XL,J0381,Black,Set,XL
JNE3463-KR-XS,JNE3463,Green,kurta,XS
JNE3793-KR-XS,JNE3793,Black,kurta,XS
SET019-KR-PP-A-S,SET019,Red,Set,S
JNE3757-KR-L,JNE3757,Purple,kurta,L
JNE3721-KR-XS,JNE3721,Purple,kurta,XS
J0207-DR-XS,J0207,Orange,Western Dress,XS
JNE3654-TP-XL,JNE3654,Red,Top,XL
JNE3713-TP-N-XS,JNE3713,Red,Top,XS
SET310-KR-NP-S,SET310,Green,Set,S
J0340-TP-S,J0340,Orange,Top,S
JNE3910-KR-XXL,JNE3910,Red,kurta,XXL
JNE3908-KR-XXL,JNE3908,White,kurta,XXL
JNE3793-KR-XXL,JNE3793,Red,kurta,XXL
SET268-KR-NP-S,SET268,Green,Set,S
J0208-DR-XXXL,J0208,Orange,Western Dress,3XL
J0301-TP-XXL,J0301,Orange,Top,XXL
J0236-SKD-XXL,J0236,Orange,Set,XXL
SET209-KR-PP-XXL,SET209,Brown,Set,XXL
SET252-KR-PP-XS,SET252,White,Set,XS
SET408-KR-NP-XXL,SET408,Red,Set,XXL
JNE3366-KR-1053-A-XXL,JNE3366,Blue,kurta,XXL
JNE3455-KR-XL,JNE3455,White,kurta,XL
JNE3764-KR-XXL,JNE3764,Purple,kurta,XXL
SET194-KR-NP-L,SET194,Yellow,Set,L
NW016-ST-SR-L,NW016,Brown,Set,L
JNE3459-KR-XXL,JNE3459,Orange,kurta,XXL
J0329-KR-XS,J0329,Red,kurta,XS
JNE3748-KR-L,JNE3748,Yellow,kurta,L
JNE2049-KR-351-M,JNE2049,Yellow,kurta,M
SET347-KR-NP-XS,SET347,White,Set,XS
MEN5031-KR-XXXL,MEN5031,Brown,kurta,3XL
J0102-SKD-M,J0102,Black,Set,M
JNE3652-TP-N-XL,JNE3652,Purple,Top,XL
SET340-KR-NP-XXXL,SET340,Blue,Set,3XL
PJNE3291-KR-6XL,PJNE3291,Black,kurta,6XL
MEN5004-KR-XXL,MEN5004,Brown,kurta,XXL
SET325-KR-NP-L,SET325,Purple,Set,L
J0041-SET-XL,J0041,Purple,Set,XL
JNE3407-KR-L,JNE3407,White,kurta,L
SET333-KR-DPT-S,SET333,Red,Set,S
JNE3363-KR-1032-M,JNE3363,Red,kurta,M
J0335-DR-XXL,J0335,Black,Western Dress,XXL
SET131-KR-NP-M,SET131,Brown,Set,M
SET413-KR-NP-M,SET413,Red,Set,M
J0336-TP-L,J0336,Purple,Top,L
JNE3630-KR-XL,JNE3630,Brown,kurta,XL
JNE3861-DR-L,JNE3861,White,Western Dress,L
JNE3518-KR-L,JNE3518,Green,kurta,L
JNE1525-KR-UDF19BLACK-L,JNE1525,Blue,kurta,L
JNE3623-KR-XS,JNE3623,Brown,kurta,XS
JNE3348-KR-L,JNE3348,Green,kurta,L
SET304-KR-DPT-XXXL,SET304,Brown,Set,3XL
J0349-SET-L,J0349,Yellow,Set,L
J0011-LCD-XXL,J0011,White,Set,XXL
MEN5029-KR-XXXL,MEN5029,Brown,kurta,3XL
JNE3672-TU-M,JNE3672,White,Top,M
SET401-KR-NP-XXXL,SET401,Red,Set,3XL
J0213-TP-S,J0213,Orange,Top,S
SET199-KR-NP-XL,SET199,Yellow,Set,XL
JNE3888-KR-XL,JNE3888,Orange,kurta,XL
J0041-SET-L,J0041,Red,Set,L
SET438-KR-NP-M,SET438,Red,Set,M
SET324-KR-NP-XS,SET324,Green,Set,XS
PJNE3423-KR-N-5XL,PJNE3423,Orange,kurta,5XL
J0236-SKD-XXXL,J0236,Orange,Set,3XL
J0225-SKD-M,J0225,Green,Set,M
J0281-SKD-XXXL,J0281,Purple,Set,3XL
JNE3702-KR-M,JNE3702,Red,kurta,M
SET376-KR-NP-L,SET376,Purple,Set,L
J0429-DR-XXXL,J0429,Orange,Western Dress,3XL
SET348-KR-NP-XXXL,SET348,Green,Set,3XL
SET144-KR-NP-S,SET144,White,Set,S
J0101-DR-A-XL,J0101,Brown,Ethnic Dress,XL
J0082-TP-L,J0082,Yellow,Top,L
J0089-TP-XL,J0089,Yellow,Top,XL
JNE3890-TP-XL,JNE3890,Orange,Top,XL
JNE3806-KR-XL,JNE3806,Orange,kurta,XL
JNE3757-KR-XXL,JNE3757,Black,kurta,XXL
SET209-KR-PP-XL,SET209,Green,Set,XL
JNE3804-KR-L,JNE3804,Blue,kurta,L
SET415-KR-NP-XXL,SET415,Yellow,Set,XXL
SET183-KR-DH-S,SET183,Brown,Set,S
JNE3400-KR-M,JNE3400,Black,kurta,M
JNE3708-TU-M,JNE3708,Green,Top,M
JNE3896-KR-A-XL,JNE3896,Orange,kurta,XL
SET410-KR-NP-L,SET410,Black,Set,L
SET279-LC-S,SET279,White,Set,S
MEN5026-KR-XL,MEN5026,Green,kurta,XL
SET357-KR-NP-M,SET357,Orange,Set,M
JNE3660-TP-N-L,JNE3660,Brown,Top,L
J0418-TP-XS,J0418,White,Top,XS
J0281-SKD-XL,J0281,Red,Set,XL
PJNE3291-KR-5XL,PJNE3291,White,kurta,5XL
JNE3660-TP-N-XS,JNE3660,Brown,Top,XS
JNE3476-KR-S,JNE3476,Green,kurta,S
J0001-DR-S,J0001,Black,Ethnic Dress,S
JNE3688-TU-XXL,JNE3688,Green,Top,XXL
JNE3510-KR-XL,JNE3510,Blue,kurta,XL
SET310-KR-NP-L,SET310,Green,Set,L
JNE3798-KR-A-XL,JNE3798,Black,Western Dress,XL
SET191-KR-PP-XL,SET191,White,Set,XL
JNE3784-KR-L,JNE3784,Red,kurta,L
J0346-SET-XXXL,J0346,Green,Set,3XL
SET355-KR-PP-XS,SET355,Purple,Set,XS
JNE3474-KR-E-XXXL,JNE3474,Blue,kurta,3XL
J0217-BL-S,J0217,Black,Blouse,S
JNE3518-KR-M,JNE3518,Blue,kurta,M
SET132-KR-NP-XXXL,SET132,Black,Set,3XL
SET014-KR-PP-XXL,SET014,Purple,Set,XXL
JNE3634-KR-L,JNE3634,Purple,kurta,L
JNE3634-KR-M,JNE3634,Green,kurta,M
JNE3257-KR-M,JNE3257,Red,kurta,M
NW020-ST-SR-L,NW020,Purple,Set,L
SET229-KR-PP-XXXL,SET229,Purple,Set,3XL
J0231-SKD-S,J0231,Black,Set,S
JNE2270-KR-487-A-S,JNE2270,Brown,kurta,S
JNE3902-KR-S,JNE3902,Orange,kurta,S
SET280-KR-PP-S,SET280,Green,Set,S
J0103-SKD-S,J0103,Purple,Set,S
JNE3784-KR-XXL,JNE3784,Red,kurta,XXL
J0008-SKD-XXXL,J0008,Blue,Set,3XL
JNE3660-TP-N-S,JNE3660,Green,Top,S
JNE3359-KR-XXL,JNE3359,Blue,kurta,XXL
SET350-KR-NP-XS,SET350,Green,Set,XS
JNE3630-KR-L,JNE3630,Black,kurta,L
J0111-TP-XXXL,J0111,Purple,Top,3XL
JNE3518-KR-XS,JNE3518,Yellow,kurta,XS
J0085-TP-L,J0085,Red,Top,L
JNE3614-KR-L,JNE3614,Black,kurta,L
JNE3575-KR-S,JNE3575,Yellow,kurta,S
J0003-SET-L,J0003,Orange,Set,L
JNE2294-KR-A-XXXL,JNE2294,Green,kurta,3XL
JNE3561-KR-XXXL,JNE3561,Brown,kurta,3XL
J0105-KR-XXL,J0105,Brown,Western Dress,XXL
SET340-KR-NP-M,SET340,Yellow,Set,M
J0234-SKD-L,J0234,Orange,Set,L
J0285-SKD-M,J0285,Green,Set,M
JNE3359-KR-XL,JNE3359,Brown,kurta,XL
JNE3384-KR-XL,JNE3384,Blue,kurta,XL
JNE3454-KR-L,JNE3454,Green,kurta,L
JNE3819-KR-M,JNE3819,Yellow,kurta,M
SET131-KR-NP-XXL,SET131,Red,Set,XXL
JNE3706-DR-XXL,JNE3706,Red,Western Dress,XXL
JNE3482-KR-XXL,JNE3482,Orange,kurta,XXL
SET145-KR-NP-L,SET145,Purple,Set,L
J0095-SET-S,J0095,Black,Set,S
SET073-KR-SHA-S,SET073,Purple,Set,S
J0150-KR-XXL,J0150,Purple,kurta,XXL
JNE3652-TP-N-S,JNE3652,Yellow,Top,S
NW014-ST-SR-XXXL,NW014,Red,Set,3XL
J0418-TP-XL,J0418,Blue,Top,XL
PJNE3068-KR-6XL,PJNE3068,Green,kurta,6XL
JNE3889-KR-XXL,JNE3889,Purple,kurta,XXL
J0118-TP-XXXL,J0118,Green,Top,3XL
J0431-DR-XXL,J0431,Orange,Western Dress,XXL
J0429-DR-XXL,J0429,Yellow,Western Dress,XXL
SET386-KR-NP-S,SET386,Green,Set,S
JNE2100-KR-144-XS,JNE2100,Brown,kurta,XS
SET194-KR-NP-S,SET194,Black,Set,S
JNE2014-KR-178-XXL,JNE2014,Black,kurta,XXL
J0280-SKD-XXXL,J0280,Blue,Set,3XL
JNE3708-TU-XXXL,JNE3708,Green,Top,3XL
JNE3810-KR-XXL,JNE3810,Orange,kurta,XXL
SET187-KR-DH-M,SET187,White,Set,M
SET277-KR-NP-XXL,SET277,Purple,Set,XXL
SET330-KR-PP-XXXL,SET330,Green,Set,3XL
SET330-KR-PP-XXL,SET330,Green,Set,XXL
SET320-KR-NP-XXL,SET320,Red,Set,XXL
J0241-SKD-XL,J0241,Red,Set,XL
SET186-KR-DH-S,SET186,Blue,Set,S
SET073-KR-SHA-M,SET073,White,Set,M
JNE3730-KR-M,JNE3730,Purple,kurta,M
J0213-TP-XXXL,J0213,Blue,Top,3XL
JNE3563-KR-XS,JNE3563,Green,kurta,XS
JNE3927-KR-XL,JNE3927,Orange,kurta,XL
JNE3465-KR-XS,JNE3465,Yellow,kurta,XS
SET304-KR-DPT-S,SET304,Blue,Set,S
SET330-KR-PP-XL,SET330,Purple,Set,XL
J0344-TP-S,J0344,Orange,Top,S
JNE3510-KR-L,JNE3510,Yellow,kurta,L
J0095-SET-L,J0095,Green,Set,L
J0153-DR-XXL,J0153,Yellow,Western Dress,XXL
JNE3860-DR-XL,JNE3860,Orange,Western Dress,XL
JNE3861-DR-XL,JNE3861,Blue,Western Dress,XL
NW006-ST-SR-L,NW006,Purple,Set,L
JNE3690-TU-XXL,JNE3690,Brown,Top,XXL
JNE3645-TP-N-XL,JNE3645,Yellow,Top,XL
JNE2205-KR-467-A-XL,JNE2205,Blue,kurta,XL
SET349-KR-NP-M,SET349,Green,Set,M
J0042-DR-XS,J0042,Green,Western Dress,XS
SET365-KR-NP-S,SET365,Green,Set,S
JNE3621-KR-A-XL,JNE3621,Red,kurta,XL
JNE2171-KR-437-S,JNE2171,White,kurta,S
SET098-KR-PP-XL,SET098,Brown,Set,XL
JNE3615-KR-XS,JNE3615,Black,kurta,XS
JNE2270-KR-487-A-M,JNE2270,Purple,kurta,M
J0308-DR-M,J0308,Green,Western Dress,M
SET244-KR-NP-XL,SET244,Red,Set,XL
SAR060,SAR060,Brown,Saree,Free
JNE3787-KR-L,JNE3787,Purple,kurta,L
SET328-KR-NP-XXL,SET328,Blue,Set,XXL
NW039-TP-SR-XL,NW039,Yellow,Set,XL
SET378-KR-NP-M,SET378,Red,Set,M
JNE3902-KR-XL,JNE3902,Purple,kurta,XL
J0347-SET-L,J0347,Black,Set,L
SET431-KR-NP-L,SET431,Blue,Set,L
SET408-KR-NP-L,SET408,Purple,Set,L
JNE3861-DR-M,JNE3861,Black,Western Dress,M
J0402-DR-L,J0402,White,Western Dress,L
SET331-KR-NP-M,SET331,Brown,Set,M
SET279-LC-XL,SET279,Blue,Set,XL
SET186-KR-DH-L,SET186,Brown,Set,L
J0344-TP-L,J0344,Brown,Top,L
SET203-KR-DPT-XL,SET203,White,Set,XL
JNE3691-TU-XS,JNE3691,Black,Top,XS
JNE3613-KR-L,JNE3613,Purple,kurta,L
JNE3431-KR-XL,JNE3431,Green,kurta,XL
JNE3579-KR-XXXL,JNE3579,Brown,kurta,3XL
MEN5021-KR-S,MEN5021,Purple,kurta,S
JNE3860-DR-L,JNE3860,Green,Western Dress,L
MEN5007-KR-L,MEN5007,Red,kurta,L
JNE3817-KR-L,JNE3817,Green,kurta,L
J0189-TP-XL,J0189,Orange,Top,XL
J0400-DR-L,J0400,Black,Western Dress,L
SET442-KR-NP-XXXL,SET442,Brown,Set,3XL
SET316-KR-DPT-XXXL,SET316,Black,Set,3XL
J0248-KR-DPT-L,J0248,Red,Set,L
JNE3878-KR-S,JNE3878,Brown,kurta,S
JNE2049-KR-351-S,JNE2049,Blue,kurta,S
JNE3862-TU-L,JNE3862,Blue,Top,L
SET196-KR-NP-M,SET196,Yellow,Set,M
SET203-KR-DPT-XXXL,SET203,Brown,Set,3XL
JNE3782-KR-S,JNE3782,Black,kurta,S
JNE2293-KR-555-XXL,JNE2293,Green,kurta,XXL
JNE3706-DR-XXXL,JNE3706,Green,Western Dress,3XL
JNE3522-KR-XXXL,JNE3522,Orange,kurta,3XL
SET278-KR-NP-XXXL,SET278,Red,Set,3XL
SET437-KR-PP-XXXL,SET437,White,Set,3XL
J0127-SKD-XXL,J0127,Black,Set,XXL
NW029-ST-SR-L,NW029,Green,Set,L
SET186-KR-DH-K-M,SET186,Green,Set,M
J0011-LCD-S,J0011,Brown,Set,S
JNE3334-KR-M,JNE3334,Orange,kurta,M
JNE3722-KR-M,JNE3722,Purple,kurta,M
JNE3415-KR-S,JNE3415,Brown,kurta,S
SET334-KR-NP-XXL,SET334,Brown,Set,XXL
JNE3465-KR-XXXL,JNE3465,Green,kurta,3XL
JNE3799-KR-XL,JNE3799,Brown,kurta,XL
JNE3270-KR-XXXL,JNE3270,Red,kurta,3XL
JNE3671-TU-L,JNE3671,Yellow,Top,L
J0004-SKD-M,J0004,White,Set,M
SET268-KR-NP-XXL,SET268,Red,Set,XXL
SET251-KR-PP-M,SET251,Yellow,Set,M
JNE3720-KR-L,JNE3720,White,kurta,L
J0244-SKD-S,J0244,Green,Set,S
JNE3484-KR-M,JNE3484,Green,kurta,M
J0431-DR-XXXL,J0431,Orange,Western Dress,3XL
JNE3618-KR-S,JNE3618,Blue,kurta,S
J0167-KR-S,J0167,Green,kurta,S
DPT052,DPT052,Yellow,Dupatta,Free
SET361-KR-NP-XS,SET361,Red,Set,XS
JNE3749-KR-XL,JNE3749,Green,kurta,XL
JNE3879-DR-XXXL,JNE3879,Purple,Western Dress,3XL
JNE3431-KR-S,JNE3431,White,kurta,S
J0351-SET-L,J0351,White,Set,L
J0355-KR-XL,J0355,White,kurta,XL
JNE3924-TU-M,JNE3924,Purple,Top,M
J0201-TP-XL,J0201,Orange,Top,XL
J0104-KR-XS,J0104,White,kurta,XS
JNE3405-KR-XXXL,JNE3405,White,kurta,3XL
JNE3323-KR-A-L,JNE3323,Red,kurta,L
BTM029-NP-M,BTM029,Black,Bottom,M
JNE3518-KR-S,JNE3518,Green,kurta,S
SET414-KR-NP-L,SET414,Red,Set,L
SET230-KR-PP-S,SET230,Yellow,Set,S
JNE3817-KR-XXL,JNE3817,Red,kurta,XXL
MEN5010-KR-XXL,MEN5010,Black,kurta,XXL
J0243-DR-XXL,J0243,Red,Ethnic Dress,XXL
JNE1233-BLUE-KR-031-XXXL,JNE1233,Green,kurta,3XL
SET281-KR-PP-A-S,SET281,Blue,Set,S
SET272-KR-PP-A-S,SET272,Black,Set,S
J0342-TP-XL,J0342,Blue,Top,XL
SET342-KR-NP-N-M,SET342,Red,Set,M
MEN5032-KR-XXL,MEN5032,Brown,kurta,XXL
SET359-KR-NP-XXL,SET359,Blue,Set,XXL
JNE3365-KR-1052-A-XL,JNE3365,Black,kurta,XL
JNE3453-KR-L,JNE3453,Yellow,kurta,L
J0179-KR-L,J0179,Orange,kurta,L
JNE3400-KR-L,JNE3400,White,kurta,L
SET433-KR-NP-XXL,SET433,White,Set,XXL
J0184-KR-A-S,J0184,Blue,kurta,S
JNE3734-KR-S,JNE3734,Yellow,kurta,S
NW039-TP-SR-L,NW039,Red,Set,L
PSET268-KR-NP-6XL,PSET268,Orange,Set,6XL
J0119-TP-L,J0119,Orange,Top,L
J0117-TP-XXXL,J0117,Yellow,Top,3XL
DPT041,DPT041,Blue,Dupatta,Free
DPT032,DPT032,White,Dupatta,Free
JNE3491-KR-XL,JNE3491,Green,kurta,XL
JNE3898-KR-M,JNE3898,Green,kurta,M
JNE3752-KR-L,JNE3752,White,kurta,L
SET360-KR-NP-L,SET360,Blue,Set,L
JNE3364-KR-1051-L,JNE3364,Blue,kurta,L
JNE3396-KR-XL,JNE3396,Green,kurta,XL
JNE3875-KR-XXL,JNE3875,Red,kurta,XXL
SET244-KR-NP-M,SET244,Yellow,Set,M
NW001-TP-PJ-XL,NW001,White,Set,XL
JNE3661-TP-XL,JNE3661,Purple,Top,XL
JNE3910-KR-XS,JNE3910,Yellow,kurta,XS
JNE3614-KR-M,JNE3614,Green,kurta,M
J0209-DR-XS,J0209,Red,Ethnic Dress,XS
J0157-DR-XS,J0157,Red,Western Dress,XS
SET239-KR-NP-XS,SET239,Blue,Set,XS
SET409-KR-NP-S,SET409,White,Set,S
SET287-KR-NP-S,SET287,Brown,Set,S
JNE1233-BLUE-KR-031-S,JNE1233,Black,kurta,S
SET376-KR-NP-S,SET376,Green,Set,S
SET300-KR-NP-M,SET300,Yellow,Set,M
SET288-KR-NP-L,SET288,Orange,Set,L
J0338-DR-XXXL,J0338,White,Western Dress,3XL
J0095-SET-XXL,J0095,Red,Set,XXL
JNE2266-KR-490-A-XS,JNE2266,Purple,kurta,XS
JNE3288-KR-XL,JNE3288,Red,kurta,XL
BL057-65BLACK-A,BL057,Yellow,Blouse,Free
JNE3903-KR-XXL,JNE3903,Purple,kurta,XXL
J0391-TP-S,J0391,Green,Top,S
J0117-TP-XS,J0117,Green,Top,XS
SET197-KR-NP-XXL,SET197,Green,Set,XXL
JNE3654-TP-L,JNE3654,Blue,Top,L
JNE2323-KR-574-XS,JNE2323,Brown,kurta,XS
J0420-TP-M,J0420,Orange,Top,M
J0390-TP-M,J0390,Brown,Top,M
J0350-SET-XL,J0350,Black,Set,XL
J0198-TP-XL,J0198,Yellow,Top,XL
J0419-TP-M,J0419,Green,Top,M
SET305-KR-DPT-M,SET305,Green,Set,M
SET239-KR-NP-XXL,SET239,Purple,Set,XXL
JNE3739-KR-S,JNE3739,Yellow,kurta,S
JNE1525-KR-UDF19BLACK-S,JNE1525,Blue,kurta,S
JNE3466-KR-XXL,JNE3466,Black,kurta,XXL
J0094-KR-M,J0094,Green,kurta,M
SET329-KR-NP-M,SET329,Brown,Set,M
J0314-KR-L,J0314,White,kurta,L
J0006-SET-L,J0006,White,Ethnic Dress,L
J0284-SKD-XXXL,J0284,Yellow,Set,3XL
J0122-TP-XXL,J0122,Green,Top,XXL
SET288-KR-NP-XXL,SET288,Black,Set,XXL
JNE3892-TP-XXL,JNE3892,Brown,Top,XXL
SET390-KR-NP-XXXL,SET390,Purple,Set,3XL
SET414-KR-NP-XL,SET414,Green,Set,XL
